Date,Title,Date,"Community (city,town, ward)",LGA,State,Total Deaths,Boko Haram (P),State Actor (P),Sectarian Actor (excluding BH) (P),Other Armed Actor (P),Kidnapper (P),Robber (P),Other (P),Election-related Actor (P),Cameroon State Actor (P),Boko Haram (V),State Actor (V),Sectarian Actor (V),Other Armed Actor (V),Political Actor (V),Kidnapper (V),Kidnapee (V),Robber (V),Journalist (V),Civilian (V),Election-related Actor (V),Cameroon State Actor,Bomb,Gun,Machete,Suicide Bombing,Other Weapon,TK,Drinking Establishment,Goverment Building,Church,Mosque,Bank,School,Other Location,Notes,Sources 1,Sources 2,Sources 3,Latitude,Longitude,full place name
2016-05-03,"Troops Arrest 5 Wanted Bandits, Kill 2 Cattle Rustlers ",5/3/2016,,Bungudu,Zamfara,2.0,,State Actor,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,Other,,http://leadership.ng/news/523584/troops-arrest-5-wanted-bandits-kill-2-cattle-rustlers-kaduna-zamfara,,,12.064275,6.538555,"Bungudu, Zamfara, Nigeria"
2016-05-04,Troops kill 18 cattle rustlers in Zamfara,5/4/2016,Dansadau,Maru,Zamfara,18.0,,State Actor,,,,,,,,,,,,,,,18.0,,,,,,Gun,,,,,,,,,,,Other,,http://www.punchng.com/troops-kill-18-cattle-rustlers-zamfara/,http://www.premiumtimesng.com/regional/nnorth-east/202970-nigerian-troops-foil-attack-armed-bandits-adamawa-villages.html,,11.64836025,6.246029854,"Maru, Zamfara, Nigeria"
2016-06-20,Soldiers kill 9 bandits in Zamfara,6/20/2016,Dansadau,Maru,Zamfara,19.0,,State Actor,,,,Robber,,,,,,,,,,,19.0,,,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/news/more-news/205739-soldiers-kill-9-bandits-zamfara.html,,,11.64836025,6.246029854,"Maru, Zamfara, Nigeria"
2016-06-26,Soldiers kill 4 armed bandits in Zamfara,6/26/2016,,Maru,Zamfara,4.0,,State Actor,,,,Robber,,,,,,,,,,,4.0,,,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/regional/nwest/205939-soldiers-kill-4-armed-bandits-zamfara-spokesperson.html,http://nationalmirroronline.net/new/troops-kill-four-cattle-rustlers-in-zamfara/,,11.64836025,6.246029854,"Maru, Zamfara, Nigeria"
2016-06-28,Troops kill cattle rustlers in Zamfara,6/28/2016,,Maru,Zamfara,3.0,,State Actor,,,,Robber,,,,,,,,,,,3.0,,,,,,Gun,,,,,,,,,,,Other,,http://nationalmirroronline.net/new/troops-kill-scores-of-terrorists-in-borno-zamfara/,http://saharareporters.com/2016/06/28/troops-raid-armed-bandits-camp-rikwa-zamfara-state,,11.64836025,6.246029854,"Maru, Zamfara, Nigeria"
2016-07-16,Nigerian troops kill 11 suspected criminals in Zamfara,7/16/2016,Madaka,Maru,Zamfara,11.0,,State Actor,,,,Robber,,,,,,,,,,,11.0,,,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/regional/nwest/207040-nigerian-troops-kill-11-suspected-criminals-zamfara.html,http://www.vanguardngr.com/2016/07/11-bandits-boko-haram-spy-killed-killed-zamfara-borno/,http://news2.onlinenigeria.com/news/general/496064-army-kills-11-bandits-cattle-rustlers-in-borno.html,11.64836025,6.246029854,"Maru, Zamfara, Nigeria"
2016-07-04,"Gunmen Killed 16, Injured 8, Rustled 40 Cows In Zamfara",7/4/2016,Rowan Messa,Bungudu,Zamfara,16.0,,,Sectarian Actor,,,,,,,,,16.0,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://leadership.ng/news/542412/gunmen-killed-16-injured-8-rustled-40-cows-zamfara,,,12.26770973,6.550749779,"Bungudu, Zamfara, Nigeria"
2016-08-22,8 murdered over alleged blasphemy against Islam,8/22/2016,,Talata Mafara,Zamfara,8.0,,,,,,,Other,,,,,,,,,,,,8.0,,,,,,,Other,,,,,,,,Other,,http://pulse.ng/local/in-zamfara-8-murdered-over-alleged-blasphemy-against-islam-id5407680.html,http://nationalmirroronline.net/new/8-burnt-to-death-in-polytechnic-for-blasphemy/,http://www.naharnet.com/stories/en/215272-muslim-mob-kills-eight-in-northern-nigeria,12.5649004,6.066579819,"Talata Mafara, Zamfara, Nigeria"
2016-08-28,Soldiers kill 20 cattle rustlers,8/28/2016,Dansadau,Maru,Zamfara,20.0,,State Actor,,,,Robber,,,,,,,,,,,20.0,,,,,,Gun,,,,,,,,,,,Other,,http://sunnewsonline.com/soldiers-kill-20-cattle-rustlers/,,,11.64836025,6.246029854,"Maru, Zamfara, Nigeria"
2016-08-29,"Troops kill suspected cattle rustlers, recover 209 cows, weapons",8/29/2016,,Zurmi,Zamfara,2.0,,State Actor,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,Other,,http://pulse.ng/local/kaduna-zamfara-troops-kill-suspected-cattle-rustlers-recover-209-cows-weapons-id5433228.html,http://www.peoplesdailyng.com/troops-kill-2-bandits-recover-1271-cows-goats-in-zamfara/,,12.78777027,6.773849964,"Zurmi, Zamfara, Nigeria"
